kernel,n,bindir,instructions,cycles,cache-references,cache-misses
dot,64,bin/O0,2870724,1866181,77217,22000
dot,256,bin/O0,3015727,2001445,75527,20492
dot,1024,bin/O0,3718163,2239741,72213,20151
dot,2048,bin/O0,4613952,2713458,67558,21556
matmul_ijk,64,bin/O0,45831716,15536733,488536,219233
matmul_ijk,256,bin/O0,2578461581,781750570,35670993,17079245
matmul_ijk,1024,bin/O0,162008934351,49599069056,2996083979,1083224382
matmul_ijk,2048,bin/O0,1292272543530,396695189632,25417233544,8860253003
matmul_ikj,64,bin/O0,33445417,11891794,98056,22583
matmul_ikj,256,bin/O0,1776300881,541471210,4358037,95152
matmul_ikj,1024,bin/O0,110519657716,33102837915,286868627,3673510
matmul_ikj,2048,bin/O0,880156969223,262289630675,2526507543,40933586
matmul_jki,64,bin/O0,33445441,11871372,958199,428024
matmul_jki,256,bin/O0,1776300738,557475812,68841454,34298751
matmul_jki,1024,bin/O0,110519658940,41313514132,4738577639,2177366922
matmul_jki,2048,bin/O0,880156969498,296643102945,50399856440,18958761306
matvec_col,64,bin/O0,5011940,3369230,89329,26334
matvec_col,256,bin/O0,37542308,17124239,242247,92218
matvec_col,1024,bin/O0,557008577,247292374,3205353,1098367
matvec_col,2048,bin/O0,2218597119,977158679,14868752,4405411
matvec_row,64,bin/O0,4835680,2627477,79381,22149
matvec_row,256,bin/O0,34723754,16681195,121392,21419
matvec_row,1024,bin/O0,511917895,236448752,953093,39548
matvec_row,2048,bin/O0,2038237763,940528776,3638048,84278
dot,64,bin/O2,2729190,2590209,74405,19893
dot,256,bin/O2,2752757,2019418,74400,20336
dot,1024,bin/O2,2910857,1890238,77166,22080
dot,2048,bin/O2,3100454,2096003,76056,19737
matmul_ijk,64,bin/O2,5368449,3354347,148957,20165
matmul_ijk,256,bin/O2,133168306,145988489,44080861,5969134
matmul_ijk,1024,bin/O2,7726880815,22720771132,2531629832,881510311
