kernel,n,bindir,time_s,checksum
dot,64,bin/O2,1.5,15.4398
dot,256,bin/O2,2.71,65.9716
dot,1024,bin/O2,8.11,263.787
dot,2048,bin/O2,1.553,516.094
matmul_ijk,64,bin/O2,0.000134905,65752.6
matmul_ijk,256,bin/O2,0.0332599,4.20487
matmul_ijk,1024,bin/O2,5.37861,2.68233
matmul_ijk,2048,bin/O2,102.101,2.14822
matmul_ikj,64,bin/O2,4.5947,65752.6
matmul_ikj,256,bin/O2,0.00275633,4.20487
matmul_ikj,1024,bin/O2,0.184206,2.68233
matmul_ikj,2048,bin/O2,2.83327,2.14822
matmul_jki,64,bin/O2,0.000260394,65752.6
matmul_jki,256,bin/O2,0.115666,4.20487
matmul_jki,1024,bin/O2,12.7492,2.68233
matmul_jki,2048,bin/O2,192.578,2.14822
matvec_col,64,bin/O2,1.903,1030.55
matvec_col,256,bin/O2,0.000134465,17108.2
matvec_col,1024,bin/O2,0.00565345,265266
matvec_col,2048,bin/O2,0.0491855,1.05405
matvec_row,64,bin/O2,1.943,1030.55
matvec_row,256,bin/O2,4.2631,17108.2
matvec_row,1024,bin/O2,0.000767756,265266
matvec_row,2048,bin/O2,0.00307215,1.05405
