kernel,n,bindir,time_s,checksum
dot,64,bin/O2,1.5,15.4398
dot,256,bin/O2,2.71,65.9716
dot,1024,bin/O2,8.11,263.787
dot,2048,bin/O2,1.553,516.094
matmul_ijk,64,bin/O2,0.000134905,65752.6
matmul_ijk,256,bin/O2,0.0332599,4.20487
matmul_ijk,1024,bin/O2,5.37861,2.68233
matmul_ijk,2048,bin/O2,102.101,2.14822
matmul_ikj,64,bin/O2,4.5947,65752.6
matmul_ikj,256,bin/O2,0.00275633,4.20487
matmul_ikj,1024,bin/O2,0.184206,2.68233
matmul_ikj,2048,bin/O2,2.83327,2.14822
matmul_jki,64,bin/O2,0.000260394,65752.6
matmul_jki,256,bin/O2,0.115666,4.20487
matmul_jki,1024,bin/O2,12.7492,2.68233
matmul_jki,2048,bin/O2,192.578,2.14822
matvec_col,64,bin/O2,1.903,1030.55
matvec_col,256,bin/O2,0.000134465,17108.2
matvec_col,1024,bin/O2,0.00565345,265266
matvec_col,2048,bin/O2,0.0491855,1.05405
matvec_row,64,bin/O2,1.943,1030.55
matvec_row,256,bin/O2,4.2631,17108.2
matvec_row,1024,bin/O2,0.000767756,265266
matvec_row,2048,bin/O2,0.00307215,1.05405
dot,64,bin/O0,8.32,15.4398
dot,256,bin/O0,2.625,65.9716
dot,1024,bin/O0,9.809,263.787
dot,2048,bin/O0,1.7493,516.094
matmul_ijk,64,bin/O0,0.00285731,65752.6
matmul_ijk,256,bin/O0,0.180318,4.20487
matmul_ijk,1024,bin/O0,11.714,2.68233
matmul_ijk,2048,bin/O0,93.1044,2.14822
matmul_ikj,64,bin/O0,0.0022401,65752.6
matmul_ikj,256,bin/O0,0.125353,4.20487
matmul_ikj,1024,bin/O0,7.79846,2.68233
matmul_ikj,2048,bin/O0,62.4119,2.14822
matmul_jki,64,bin/O0,0.0019777,65752.6
matmul_jki,256,bin/O0,0.125059,4.20487
matmul_jki,1024,bin/O0,9.69404,2.68233
matmul_jki,2048,bin/O0,71.2323,2.14822
matvec_col,64,bin/O0,4.0947,1030.55
matvec_col,256,bin/O0,0.000794756,17108.2
matvec_col,1024,bin/O0,0.0110653,265266
matvec_col,2048,bin/O0,0.0440967,1.05405
matvec_row,64,bin/O0,2.9025,1030.55
matvec_row,256,bin/O0,0.000452959,17108.2
matvec_row,1024,bin/O0,0.00728826,265266
matvec_row,2048,bin/O0,0.0294858,1.05405
dot,64,bin/O3fast,1.4,15.4398
dot,256,bin/O3fast,1.9,65.9716
dot,1024,bin/O3fast,3.51,263.787
dot,2048,bin/O3fast,4.51,516.094
matmul_ijk,64,bin/O3fast,6.4342,65752.6
matmul_ijk,256,bin/O3fast,0.038103,4.20487
matmul_ijk,1024,bin/O3fast,6.06101,2.68233
matmul_ijk,2048,bin/O3fast,112.815,2.14822
matmul_ikj,64,bin/O3fast,2.0619,65752.6
matmul_ikj,256,bin/O3fast,0.00211537,4.20487
matmul_ikj,1024,bin/O3fast,0.136834,2.68233
matmul_ikj,2048,bin/O3fast,1.92061,2.14822
matmul_jki,64,bin/O3fast,0.000166726,65752.6
matmul_jki,256,bin/O3fast,0.0597558,4.20487
matmul_jki,1024,bin/O3fast,5.96452,2.68233
matmul_jki,2048,bin/O3fast,85.5533,2.14822
matvec_col,64,bin/O3fast,1.603,1030.55
matvec_col,256,bin/O3fast,0.000103325,17108.2
matvec_col,1024,bin/O3fast,0.00334217,265266
matvec_col,2048,bin/O3fast,0.0304155,1.05405
matvec_row,64,bin/O3fast,5.81,1030.55
matvec_row,256,bin/O3fast,1.086,17108.2
matvec_row,1024,bin/O3fast,0.000379981,265266
matvec_row,2048,bin/O3fast,0.00143886,1.05405
dot,64,bin/O3native,1.61,15.4398
dot,256,bin/O3native,3.11,65.9716
dot,1024,bin/O3native,9.41,263.787
dot,2048,bin/O3native,1.583,516.094
matmul_ijk,64,bin/O3native,0.000253912,65752.6
matmul_ijk,256,bin/O3native,0.03559,4.20487
matmul_ijk,1024,bin/O3native,5.71228,2.68233
matmul_ijk,2048,bin/O3native,116.914,2.14822
matmul_ikj,64,bin/O3native,2.64,65752.6
matmul_ikj,256,bin/O3native,0.00174811,4.20487
matmul_ikj,1024,bin/O3native,0.119724,2.68233
matmul_ikj,2048,bin/O3native,1.91479,2.14822
matmul_jki,64,bin/O3native,0.000186834,65752.6
matmul_jki,256,bin/O3native,0.0617384,4.20487
matmul_jki,1024,bin/O3native,6.54204,2.68233
matmul_jki,2048,bin/O3native,104.176,2.14822
matvec_col,64,bin/O3native,1.262,1030.55
matvec_col,256,bin/O3native,0.000130437,17108.2
matvec_col,1024,bin/O3native,0.00391459,265266
matvec_col,2048,bin/O3native,0.0261443,1.05405
matvec_row,64,bin/O3native,1.813,1030.55
matvec_row,256,bin/O3native,3.7051,17108.2
matvec_row,1024,bin/O3native,0.000735945,265266
matvec_row,2048,bin/O3native,0.00308579,1.05405
