version,p,t,tiempo,porcentaje,uso_cpu
bs_numpy,1,12,11.754575685998134,92.03,"[76.9, 31.5, 72.1, 100.0, 63.6, 17.4, 86.8, 98.3, 50.8, 100.0, 79.5, 100.0, 91.7, 87.6, 100.0, 74.8, 100.0, 80.8, 100.0, 100.0, 78.5, 92.6, 100.0, 98.0, 77.5, 100.0, 97.7, 79.8, 100.0, 96.8, 86.0, 100.0, 78.5, 100.0, 89.3, 100.0, 97.5, 100.0, 100.0, 88.3, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 87.6, 100.0, 100.0, 100.0, 96.7, 100.0, 99.2, 100.0, 100.0, 91.7, 86.6, 96.7, 99.2, 100.0, 100.0, 92.6, 100.0, 100.0, 100.0, 100.0, 100.0, 98.3, 100.0, 88.4, 100.0, 100.0, 100.0, 90.8, 100.0, 100.0, 100.0, 81.0, 100.0, 95.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 95.2, 100.0, 99.2, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 95.8, 100.0, 94.2, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.2]"
bs_numpy,2,12,7.242984304000856,92.03,"[83.3, 87.6, 28.7, 51.6, 100.0, 99.2, 84.3, 97.5, 99.2, 97.5, 100.0, 99.2, 91.0, 100.0, 100.0, 95.8, 93.3, 98.4, 100.0, 95.9, 95.8, 100.0, 88.4, 100.0, 100.0, 95.0, 98.3, 94.2, 95.0, 100.0, 95.0, 95.0, 95.8, 100.0, 95.9, 96.7, 97.5, 95.0, 98.3, 97.5, 96.7, 92.6, 87.4, 95.8, 100.0, 96.7, 98.3, 100.0, 92.6, 97.5, 99.2, 91.7, 100.0, 96.7, 96.7, 100.0, 97.5, 100.0, 96.7, 100.0, 100.0, 90.8, 100.0, 100.0, 95.9, 100.0, 96.7, 99.2, 100.0, 94.3, 78.5, 41.8, 7.4]"
bs_numpy,3,12,6.326638329999696,92.03,"[96.0, 93.3, 59.0, 87.6, 81.7, 84.3, 80.3, 99.2, 94.2, 92.6, 83.5, 90.2, 100.0, 100.0, 96.7, 82.2, 96.8, 95.8, 98.4, 95.0, 95.8, 98.3, 97.6, 97.5, 93.4, 97.5, 98.3, 94.2, 96.7, 95.0, 98.3, 95.0, 100.0, 95.0, 96.7, 100.0, 95.0, 100.0, 97.5, 93.4, 92.5, 96.7, 95.8, 98.3, 96.7, 94.1, 95.0, 100.0, 92.1, 99.2, 96.7, 96.7, 92.6, 96.7, 98.4, 94.2, 95.9, 96.7, 98.4, 97.5, 97.5, 59.3, 18.3]"
bs_numpy,4,12,5.972758789001091,92.03,"[96.7, 97.5, 58.2, 54.9, 85.0, 100.0, 96.7, 98.4, 79.2, 87.6, 93.3, 92.6, 97.5, 90.3, 93.3, 95.8, 90.0, 94.2, 92.6, 93.4, 94.2, 90.1, 91.8, 95.0, 97.5, 97.5, 91.7, 92.6, 92.5, 94.3, 91.7, 97.5, 99.2, 98.3, 96.7, 93.3, 97.5, 93.3, 91.7, 95.9, 96.6, 96.7, 91.0, 95.8, 97.6, 90.9, 92.6, 94.2, 88.3, 95.1, 88.3, 91.6, 86.2, 95.1, 95.0, 94.2, 84.2, 65.3, 40.7, 7.5]"
bs_numpy,5,12,5.969559550998383,92.03,"[94.3, 93.3, 64.8, 68.3, 73.2, 79.2, 86.9, 89.1, 90.9, 88.3, 90.1, 95.9, 85.4, 84.2, 81.5, 84.4, 88.2, 85.1, 86.0, 81.1, 80.0, 76.7, 81.7, 86.0, 91.7, 80.2, 98.3, 98.4, 83.2, 89.3, 81.8, 90.2, 90.8, 90.9, 73.3, 83.7, 77.5, 88.4, 87.6, 82.8, 81.0, 87.5, 78.3, 88.3, 81.1, 80.2, 82.5, 73.2, 91.7, 84.3, 81.7, 80.2, 85.8, 86.1, 76.7, 75.8, 70.2, 44.6, 19.7, 4.1]"
bs_numpy,6,12,5.975363613004447,92.03,"[93.4, 94.2, 83.5, 82.4, 70.7, 79.0, 83.7, 97.5, 99.2, 95.9, 98.3, 94.2, 94.2, 85.8, 84.3, 88.2, 92.7, 96.7, 95.0, 95.0, 99.2, 97.5, 95.0, 90.2, 87.5, 95.8, 95.1, 94.2, 94.1, 96.7, 94.2, 95.0, 96.7, 98.3, 96.7, 95.9, 93.3, 95.8, 96.0, 95.1, 94.9, 94.2, 95.0, 95.9, 98.3, 97.5, 97.5, 96.7, 97.5, 98.4, 95.8, 99.2, 95.9, 95.0, 95.0, 96.6, 77.7, 48.8, 21.3, 4.9]"
bs_numpy,7,12,5.6950060820017825,92.03,"[98.3, 94.7, 86.0, 91.8, 88.3, 75.0, 75.4, 69.2, 71.7, 67.5, 69.4, 71.1, 71.1, 68.6, 66.1, 69.5, 73.2, 73.6, 70.8, 66.9, 68.6, 70.6, 67.8, 72.5, 71.1, 72.5, 99.2, 77.9, 65.0, 65.6, 71.7, 66.1, 67.8, 71.3, 66.7, 71.7, 74.6, 67.5, 71.7, 68.6, 68.1, 68.0, 76.2, 71.1, 65.0, 72.4, 76.5, 72.1, 81.7, 75.6, 70.2, 62.3, 50.4, 46.7, 25.0, 14.8, 8.1]"
bs_numpy,8,12,6.034142964002967,92.03,"[97.6, 95.8, 82.5, 94.3, 93.3, 75.4, 74.4, 73.1, 77.9, 80.2, 83.5, 86.0, 83.3, 90.9, 81.5, 81.1, 80.5, 85.7, 77.3, 77.7, 85.0, 81.8, 82.3, 84.0, 84.2, 85.1, 85.0, 86.9, 86.6, 74.6, 90.1, 98.3, 86.4, 85.0, 76.2, 91.7, 96.7, 98.4, 100.0, 96.7, 90.9, 92.6, 77.7, 85.8, 76.9, 83.3, 77.3, 93.8, 95.8, 90.8, 99.2, 91.5, 80.5, 77.3, 60.8, 54.9, 46.2, 34.7, 19.5, 17.2]"
bs_numpy,9,12,6.481176976005372,92.03,"[97.5, 98.4, 74.2, 98.4, 99.2, 95.9, 91.7, 90.2, 88.4, 89.2, 83.6, 92.7, 96.6, 96.7, 96.7, 95.0, 95.0, 96.7, 97.5, 90.2, 93.3, 91.0, 87.5, 95.0, 98.4, 100.0, 98.3, 85.8, 82.1, 84.3, 88.5, 89.3, 91.0, 88.4, 87.6, 93.5, 90.8, 88.3, 86.2, 91.0, 94.2, 98.3, 98.3, 98.3, 99.2, 97.5, 99.2, 95.9, 95.8, 94.3, 97.5, 90.9, 93.4, 91.6, 91.7, 93.4, 99.2, 98.3, 78.3, 76.0, 64.8, 57.5, 45.9, 34.1, 21.8]"
bs_numpy,10,12,7.033085351002228,92.03,"[98.3, 100.0, 95.9, 93.4, 100.0, 96.7, 100.0, 100.0, 98.4, 99.2, 99.2, 98.4, 95.0, 91.0, 91.8, 100.0, 100.0, 99.2, 100.0, 100.0, 95.0, 98.4, 99.2, 98.4, 99.2, 100.0, 100.0, 100.0, 99.2, 99.2, 99.2, 99.2, 100.0, 93.5, 98.3, 96.7, 99.2, 97.5, 100.0, 100.0, 99.2, 98.4, 100.0, 99.2, 99.2, 98.4, 97.5, 95.9, 96.7, 95.1, 94.1, 95.9, 100.0, 94.1, 95.9, 95.8, 99.2, 98.5, 98.4, 100.0, 98.4, 99.2, 93.3, 87.6, 76.7, 67.8, 50.0, 23.8, 12.2, 4.1]"
bs_numpy,11,12,6.792118083998503,92.03,"[100.0, 100.0, 86.9, 100.0, 99.2, 97.5, 97.5, 99.2, 97.5, 95.9, 97.5, 95.0, 97.5, 95.9, 96.7, 99.2, 100.0, 100.0, 100.0, 100.0, 99.2, 100.0, 99.2, 100.0, 99.2, 100.0, 99.2, 100.0, 96.8, 95.0, 95.0, 97.5, 99.2, 98.4, 95.1, 100.0, 99.2, 99.2, 100.0, 100.0, 99.2, 96.7, 99.2, 97.5, 97.5, 100.0, 98.3, 100.0, 100.0, 99.2, 97.5, 99.2, 100.0, 95.8, 95.9, 99.2, 97.5, 98.3, 92.4, 88.3, 81.8, 71.3, 67.2, 61.5, 29.8, 18.9, 9.0, 8.9]"
bs_numpy,12,12,6.728933013997448,92.03,"[100.0, 100.0, 100.0, 99.2, 100.0, 98.4, 98.3, 98.3, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.2, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.2, 100.0, 99.2, 100.0, 100.0, 99.2, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 98.4, 100.0, 100.0, 99.2, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.2, 99.2, 100.0, 100.0, 100.0, 100.0, 99.2, 99.2, 92.6, 92.5, 71.7, 52.5, 43.8, 28.1, 9.1, 4.8]"
