version,p,t,tiempo,porcentaje
bs_auto,1,,69.78147829999762,94.35
bs_auto,2,,51.05974503700054,94.35
bs_auto,3,,49.92613637600152,94.35
bs_auto,4,,54.18342704399765,94.35
bs_auto,5,,55.61916207499962,94.35
bs_auto,6,,57.59720029700111,94.35
bs_auto,7,,59.49576959100159,94.35
bs_auto,8,,60.34590445499998,94.35
bs_auto,9,,61.63908436800193,94.35
bs_auto,10,,62.473898694002855,94.35
bs_auto,11,,62.502528175002226,94.35
bs_auto,12,,63.70449635499972,94.35
bs_numpy,1,12,7.9600315839998075,92.03
bs_numpy,2,12,6.976031370999408,92.03
bs_numpy,3,12,6.178996400001779,92.03
bs_numpy,4,12,5.8676961550008855,92.03
bs_numpy,5,12,5.681557243002317,92.03
bs_numpy,6,12,5.807392519000132,92.03
bs_numpy,7,12,5.07916786700298,92.03
bs_numpy,8,12,5.140555828998913,92.03
bs_numpy,9,12,5.260922812998615,92.03
bs_numpy,10,12,5.450948538000375,92.03
bs_numpy,11,12,5.636855523996928,92.03
bs_numpy,12,12,5.753658829002234,92.03
bs_sklearn,1,,61.96585858600156,92.03
bs_sklearn,2,,51.54751873200075,92.03
bs_sklearn,3,,52.16898176399991,92.03
bs_sklearn,4,,53.92835829099931,92.03
bs_sklearn,5,,56.573598708000645,92.03
bs_sklearn,6,,56.77780447599798,92.03
bs_sklearn,7,,59.57725068600121,92.03
bs_sklearn,8,,60.258986003002065,92.03
bs_sklearn,9,,60.40484642999945,92.03
bs_sklearn,10,,61.24721366500307,92.03
bs_sklearn,11,,62.14235835999716,92.03
bs_sklearn,12,,62.863183689001744,92.03
