version,p,t,tiempo
bs_numpy,1,1,12.98651427599907
bs_numpy,1,2,8.578675902001123
bs_numpy,1,3,6.954519230002916
bs_numpy,1,4,5.974071908000042
bs_numpy,1,5,5.395988532000047
bs_numpy,1,6,5.229487071999756
bs_numpy,1,7,5.305865428999823
bs_numpy,1,8,5.970788099999481
bs_numpy,1,9,6.069536442999379
bs_numpy,1,10,5.901719328998297
bs_numpy,1,11,5.467261275000055
bs_numpy,1,12,5.633578302000387
bs_numpy,2,1,5.122803335001663
bs_numpy,2,2,5.26188199399985
bs_numpy,2,3,5.220741624998482
bs_numpy,2,4,5.134325965998869
bs_numpy,2,5,5.1446748550006305
bs_numpy,2,6,4.993346883999038
bs_numpy,3,1,4.2924172730017744
bs_numpy,3,2,4.319320276998042
bs_numpy,3,3,4.3084390069998335
bs_numpy,3,4,4.457220098000107
bs_numpy,4,1,4.0102381850010715
bs_numpy,4,2,4.364156578001712
bs_numpy,4,3,4.07159989000138
bs_numpy,5,1,4.055806147000112
bs_numpy,5,2,3.9596446120012843
bs_numpy,6,1,3.9761714349988324
bs_numpy,6,2,4.1101365689974045
bs_numpy,7,1,4.042396496999572
bs_numpy,8,1,4.189100149000296
bs_numpy,9,1,4.200557405998552
bs_numpy,10,1,4.550907198001369
bs_numpy,11,1,4.740365479003231
bs_numpy,12,1,5.034260610998899
