version,p,t,tiempo
bs_auto,1,,4.819243563997588
bs_auto,2,,5.388919948996772
bs_auto,3,,4.094408001001284
bs_auto,4,,3.073688761000085
bs_auto,5,,3.258388932001253
bs_auto,6,,3.2532659509997757
bs_auto,7,,4.485431957997207
bs_auto,8,,4.537865682999836
bs_auto,9,,4.727303347000998
bs_auto,10,,4.972793864999403
bs_auto,11,,5.0624731889984105
bs_auto,12,,5.360481896997953
bs_numpy,1,12,0.6509856970005785
bs_numpy,2,12,0.7486174520017812
bs_numpy,3,12,0.7545555760007119
bs_numpy,4,12,0.7238736649997008
bs_numpy,5,12,0.6965102610010945
bs_numpy,6,12,0.8229946450010175
bs_numpy,7,12,0.7306537160002335
bs_numpy,8,12,0.7577565360006702
bs_numpy,9,12,0.7933573059999617
bs_numpy,10,12,0.7942247120008687
bs_numpy,11,12,0.8378155780010275
bs_numpy,12,12,0.85006796900052
bs_sklearn,1,,5.585049448000063
bs_sklearn,2,,4.1028744309987815
bs_sklearn,3,,3.5998192690021824
bs_sklearn,4,,3.016025135999371
bs_sklearn,5,,3.0186702989994956
bs_sklearn,6,,3.1674746190001315
bs_sklearn,7,,4.235909852999612
bs_sklearn,8,,4.51878298900192
bs_sklearn,9,,4.827572113001224
bs_sklearn,10,,4.833284614000149
bs_sklearn,11,,5.1675077519976185
bs_sklearn,12,,5.306973640999786
