p,t,tiempo
bs_numpy,1,1,1.318166500001098
bs_numpy,1,2,0.851761533998797
bs_numpy,1,3,0.6848107780024293
bs_numpy,1,4,0.6094889670021075
bs_numpy,1,5,0.5579795480007306
bs_numpy,1,6,0.5536495890009974
bs_numpy,1,7,0.621085189999576
bs_numpy,1,8,0.622367038999073
bs_numpy,1,9,0.5885506819977309
bs_numpy,1,10,0.5879454250025447
bs_numpy,1,11,0.6106863060012984
bs_numpy,1,12,0.7031342539994512
bs_numpy,2,1,0.7959359619999304
bs_numpy,2,2,1.0127533020022383
bs_numpy,2,3,0.8492520959989633
bs_numpy,2,4,0.774729731001571
bs_numpy,2,5,0.8357112349985982
bs_numpy,2,6,0.8306230489979498
bs_numpy,3,1,0.830087905000255
bs_numpy,3,2,0.7789918999988004
bs_numpy,3,3,0.6668753949998063
bs_numpy,3,4,0.788722797002265
bs_numpy,4,1,0.7314460939996934
bs_numpy,4,2,0.8268851719985832
bs_numpy,4,3,0.7368724209991342
bs_numpy,5,1,0.703965207998408
bs_numpy,5,2,0.7082241620009881
bs_numpy,6,1,0.7429004879995773
bs_numpy,6,2,0.741522365999117
bs_numpy,7,1,0.7065080780012067
bs_numpy,8,1,0.7326852529986354
bs_numpy,9,1,0.7745147809982882
bs_numpy,10,1,0.6848959859999013
bs_numpy,11,1,0.8297379800023919
bs_numpy,12,1,0.8507710630001384
